"page","chart_id","node_id","type","label_zh","x","y","width","height","units","备注"
"1","ERASMUS-JP-01","JP01-START","start","","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-A","condition","菲律宾、东印度或马来亚的盟军HQ断补？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-B","condition","东印度投降格全部占领？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-CD","condition","C+D？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-F","condition","后勤值≥20？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-G","condition","第3回合或以后？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-ACD","condition","A+C+D？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-CEHI","condition","C+(E或H+I)？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-CJEBIK","condition","C+J+E+(B或I或K)？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-CL","condition","C+L？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-M","condition","外围防御目标1完成？","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-D10","dice","掷D10","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-S-AGGRESSIVE-AIR","action","激进空优","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-S-CONSERVATIVE-AIR","action","保守空优","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-S-AGGRESSIVE-RESOURCE","action","激进南方资源","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-S-PERIMETER","action","外围防御","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-S-EVENT","action","事件","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-S-CENTRAL-PACIFIC","action","中太平洋","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-FALLBACK","fallback","","","","","","page_fraction",""
"1","ERASMUS-JP-01","JP01-END","terminal","","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-START","start","","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-A","condition","手牌≥3？","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-B","condition","可以PASS？","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-C","condition","资源格<13？","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-D","condition","后勤值≥20？","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-E","condition","美国政治意志<4？","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-G","condition","后勤值≥15？","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-F","condition","缅甸投降？","","","","","page_fraction",""
